#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
谱	__写, 食__, 脸__, 乐__
亲	母__, 父__, __自, __切
殴	__打, __斗
眷	家__, __属, __恋, 女__
鸽	__子
碾	__碎
揄	揶__
潇	__洒
览	展__, 展__会, 浏__, 游__
降	下__, __低, __价, __临
协	__调, __议, __商, __会
郎	女__, 牛__, 新__, __君
屑	不__, 纸__, 不__一顾, 头__
绒	灯芯__, __布, 丝__, __仙
礴	气势磅__
恙	安然无__, 无__
赛	比__, 竞__, __里, 大__
拚	__搏, __命, 比__
九	一____一年, __十, 第__, 第十__
远	永__, 遥__, __古, 长__
俑	兵马__, 始作__者
酣	__睡, 正__, __战, __然
团	集__, __结, 代表__, 军__
剥	__削, __落, __夺, __削者
古	__代, 远__, __人, __老
峦	山__, 层__叠嶂, 峰__
姨	阿__, 婆__, __太, __父
柬	__埔寨, 请__
药	__物, 医__, __品, 弹__
惮	肆无忌__
煦	和__
仲	__裁, __裁员, __丽, __凯
说	来__, __话, 小__, __明
坷	坎__, 坎坎____
银	__行, __子, __根, __牌
凸	__起, __出, 凹__
勺	漏__, __子, 后脑__, 掌__
幽	__默, __灵, __静, __雅
翼	小心____, 飞__艇, 羽__, 不__而飞
桔	__子, 柑__, __黄色
极	积__, __大, __其, 积__性
漆	__黑, 油__, 清__, __包线
殉	以身__职, __情, __葬品
隋	__唐
同	不__, __志, __时, 共__
猎	__人, 狩__, __取, 打__
帐	__户, 蚊__, __篷, 呆__
研	__究, 科__, __究生, __究所
蒗	__县
艘	一____
战	__士, __略, __争, __斗
些	一__, 这__, 有__, 那__
脚	__步, __下, 手__, 双__
骚	__动, 发牢__, 牢__, 风__
谜	哑__, 灯__, 猜__, 猜__语
圄	身陷囹__
坛	__子, 歌__, 祭__, 花__
