#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
漏	__洞, 遗__, __掉, 偷__税
蔓	__延
芒	光__, 光__四射, 锋__, 麦__
昕	大__
驹	千里__, 马__桥, 龙__
嬗	__变
颖	新__, __超, 志__, 聪__
庚	__午, 仓__, 同__, __子
初	__期, __步, 当__, 最__
真	认__, __正, __是, __的
钞	__票, 伪__, 假__, 点__机
校	学__, __长, 高等学__, 高__
责	负__, __任, 负__人, 职__
严	__重, __格, __肃, 妻管__
仇	__恨, 报__, __人, 复__
茧	__子, 蚕__, 作__自缚
悦	喜__, 愉__, __目, __耳
夫	丈__, __妻, __人, __妇
扳	__机, __手
弯	__曲, 转__, __腰, ____曲曲
粮	__食, 干__, 口__, __票
冰	__箱, 电__箱, __凉, __淇淋
申	__请, __府, 重__, __请人
劲	__哉, 使__, __儿, 后__
阵	一__, 点__, __地, 一__子
土	__地, 混凝__, 领__, 国__
酵	发__, __母, __母菌
人	__们, __民, 个__, __员
蜿	__蜒, ____蜒蜒
秀	优__, 独__, __才, 中牟__子
嫂	__子, 姑__, __夫人, 长__
幅	大__度, __度, 增__, __员辽阔
升	上__, 回__, __高, 晋__
痈	养__遗患
益	利__, 效__, 经济效__, 日__
诌	胡__
住	__房, 抓__, 不__, 记__
癌	__症, __细胞, 肝__, 胃__
拒	__绝, 抗__, 婉__, __之门外
皆	啼笑__非, 尽人__知, 比比__是, __大欢喜
柔	温__, __和, __软, __情
字	汉__, 名__, 文__, __形
渥	__太华, __惠
绚	__丽, __丽多姿
坟	__堆, __地, __头, __墓
衡	平__, __量, 失__, 抗__
淑	__云, __彬, __媛, __女
赣	__州, 湘__
找	__到, 寻__, __上门, __回
迤	逶__
捧	吹__, 众星__月
惦	__记, __念
摩	__托车, __擦, __托, __挲
旨	宗__, __在, 主__, 圣__
驭	驾__
凰	凤__
镳	分道扬__
狲	猢__
陵	铜__, 北__, 醴__, __园
偿	补__, 补__费, 无__, __还
袅	__娜, ____婷婷
汹	__涌, 气势____, __涌澎湃
毕	__业, __业生, __竟, 完__
腻	细__, 油__, 滑__, __味
板	老__, 地__, 底__, 木__
宁	辽__, __静, 列__, 辽__省
稀	依__, __奇, __少, __疏
射	__击, 辐__, 反__, 照__
匆	__忙, ____忙忙, 急____, 行色____
嘈	__杂
寮	__国
殃	遭__
伎	__俩
成	__为, 形__, 造__, 完__
蚓	蚯__
Ｏ	卡拉__Ｋ机
碗	饭__, 茶__, 铁饭__, 汤__
龙	贺__, 黑__江, 黑__江省, 石__山
帘	窗__, 竹__, __子, 映入眼__
力	能__, __量, 努__, 生产__
缀	点__, 前__
倜	__傥
钟	分__, 秒__, __头, __情
霞	彩__, __映, 晚__, 明__堡
计	__划, 设__, __算机, 审__
薇	蔷__
昨	__天, __晚, __夜, __日
缮	修__
逞	得__, __威风
到	得__, 看__, 感__, 达__
疵	瑕__, 吹毛求__, __漏
琴	钢__, 弹__, 小提__, 手风__
边	一__, 身__, 旁__, 那__
游	旅__, __戏, 上__, __泳
贺	__龙, 祝__, __年片, 庆__
龋	__齿, __损
蒿	茼__, __子
婀	____娜娜
练	训__, __习, __功, 熟__
巅	山__
陈	__设, __列, __旧, 新__代谢
迩	遐__闻名, 闻名遐__
啊	__呀
行	进__, 实__, __为, __政
低	降__, __于, 最__, __下
睢	__杞太
藕	莲__
摔	__倒, __跤, 破罐破__
策	政__, 决__, __略, 对__
忙	连__, 急__, 赶__, 匆__
凝	混__土, __结, __固, __视
停	__止, 不__, __下, __火
哟	哎__, 哎____
非	__常, 南__, 并__, __法
诡	__异, __秘, __计, __辩
代	年__, 现__, __表, 时__
溺	__爱, __婴, __水
汤	高__, 面__, 姜__, __包
惧	恐__, 恐__感, __怕, 畏__
晨	早__, 清__, 凌__, __更
赦	大__
硬	__件, __币, __化, __是
糯	__米
置	位__, 安__, 装__, 布__
叱	__咤风云, __责, __骂, 喝__
雳	霹__
煲	电饭__
闵	希__
颅	__骨, 头__
迹	奇__, 痕__, 事__, __象
矬	__子
恼	烦__, 苦__, __火, __怒
松	轻__, 寒__, 放__, 尼克__
布	宣__, __置, 公__, 分__
如	__果, __何, __此, 例__
历	__史, 经__, 学__, __来
眉	__毛, __笔, __头, 浓__
皈	__依
喊	呼__, 大__, __声, 呐__
植	__物, __树, __树造林, 动__物
浃	汗流__背
氏	__族, 姓__, 摄__度, 神农__
澎	心潮__湃, 汹涌__湃, __湃
挑	__战, __选, __起, __衅
易	贸__, 容__, 交__, 不__
苯	__巴比妥, 乙甲__, 甲__, 酮__
鹅	天__, 白天__, 飞__山, __毛
创	__造, __作, __立, __办
兮	嗲____
吟	呻__, __唱, 沉__, __诵
俄	__国, __罗斯, __语, __文
次	这__, 层__, 每__, 再__
渣	矿__, 沉__, __油, 残__
败	失__, 腐__, 成__, 打__
沤	__肥
性	__质, 女__, __格, 个__
惆	__怅
夭	__折, 逃之____
微	__电子, __笑, 稍__, __观
阳	__光, 太__, 沈__, 欧__
冲	__突, __击, __洗, __动
电	__话, __子, __视, __影
样	这__, 一__, 那__, 怎__
讶	惊__, __异, __骇
悼	__念, 哀__, __词, 追__会
穴	洞__, 点__, 麻__, __道
魁	__梧, 花__, __伟, __首
聿	__明
鹃	杜__
囊	行__, 窝__, 胶__, 革__
鳄	__鸟, __鱼
遇	__到, 机__, 待__, __上
张	紧__, 主__, 夸__, 开__
毙	枪__, 击__, __命
盈	__利, 轻__, 自负__亏, __亏
痊	__愈
迎	欢__, __接, __春, __来
拐	__杖, __子, __弯, 双__
晓	__庆, __得, __岚, __光
懒	__得, __汉, __散, __洋洋
默	沉__, 幽__, 穆罕__德, 凯__
牛	__奶, __郎, 老__, __顿
酝	__酿
系	__统, 关__, 联__, 体__
瑟	约__, 若__, 麦克阿__, 鼓__
矣	悔之晚__
斧	__头, 大刀阔__, 石__, 鬼__神工
蛙	青__
饭	吃__, __店, 晚__, 做__
屯	六里__, 小__村, __堡, __寨
危	__险, __机, __害, __及
狰	__狞
苒	光阴荏__
衷	由__, __心, 初__, __肠
茨	菲__沃特, 舒尔__, 波__坦, 莱布尼__
晕	头__, __倒, __眩, 红__
皖	鄂豫__, 苏__
跺	__脚
蟾	天__
突	__然, __出, __破, 冲__
唁	吊__
龃	__龉
堂	教__, 食__, 学__, 课__
鲅	__鱼
醇	类固__, 甲__, 甾__, 胆固__
分	十__, __析, 充__, 部__
圈	线__, 眼__, __子, 花__
残	__疾人, __废, __酷, __留
吊	上__, __灯, __销, __唁
袍	睡__, 旗__, 棉__, 长__
与	参__, __此同时, __其, __否
抑	__制, 压__, __或, __郁
怒	愤__, 恼__, __火, __骂
撕	__裂, __毁, __碎, __开
馗	钟__
庙	__宇, 寺__, 关帝__, 宗__
缘	__起, 血__, __故, 边__
玛	班__, __格丽特, 拉__坚, 珠穆朗__峰
尚	__未, 和__, 高__, __昆
喟	__然
犄	__角
欠	拖__, 呵__, 哈__, __债
辣	__椒, 火____, __子, 泼__
蠢	愚__, __县, __材
沥	呕心__血, __青, 披肝__胆, 淅__
贤	维__, 若__, __弟, 前__
憧	__憬
溉	灌__
蚩	__尤
木	树__, 花__, __板, __材
宫	白__, __殿, 子__, 九__
搪	__瓷, __塞
帮	__助, __忙, 江舟__, __手
励	鼓__, 奖__, 激__, __磁
剡	__溪
钵	衣__, 毕__罗树
锴	廷__
榷	商__
伸	__手, __出, 延__, __长
显	明__, __得, __然, __示
嫁	出__, 陪__, __妆, 再__
孀	遗__
心	__里, __理, 中__, __中
糅	__合
采	__取, __用, __访, __煤
薪	卧__尝胆, 月__, __炭林, 高__
毋	__宁, __庸讳言
告	__诉, 报__, 广__, __别
棍	__棒, 面__, 木__, 光__
乎	似__, 几__, 不在__, 近__
篝	__火
荐	推__, 引__, 自__, 保__
染	污__, 感__, 渲__, 传__
恒	永__, __定, __牙, __心
姗	索__, ____来迟
给	__予, 交__, 送__, 供__
叛	__徒, __乱, 背__, __逆
逾	__期, 不可__越, 年__古稀, __越
郝	__庄正
兜	__里, 网__, 衣__, __售
嗟	__叹
驴	毛__, __子, 就坡下__, 黔__技穷
泥	水__, __土, __水匠, __水
赤	__字, __裸裸, __足, __子之心
扦	棉__
杨	小__, 白__, __树, 老__
饬	整__
狱	监__, 地__, 冤__, __中
印	__象, __度, __刷, __发
石	__油, 介__, __头, 宝__
荪	沐__
畴	范__
嗨	__呀
潸	__然泪下
薛	__吴村
豺	__狼
能	不__, 可__, __力, 才__
腼	__腆
晾	__干, __晒
威	__胁, 科__特, 天__, 权__
简	__单, __直, __称, __洁
弃	放__, 抛__, __婴, 遗__
颂	歌__, __词, 称__, __扬
尅	相__
嘉	__琦, 蜀__, 可__, __陵江
逍	__遥, __遥派, __遥自在
钊	大__, 士__
诃	摩__男
于	由__, 对__, __是, 关__
我	__们, __国, 自__, __家
蜓	蜻__点水
佯	倘__
窖	地__
帙	卷__, 卷__浩繁
徘	__徊
猛	__然, __地, __烈, __增
岚	小__, 晓__, __有
逝	流__, 消__, __世, 伤__
农	__业, __村, __民, __场
生	__活, __产, 学__, 产__
模	规__, __式, __样, __拟
梢	树__, 喜上眉__, 末__, __头
谥	__号
涤	洗__, 洗__剂, __庵, __生
愧	不__为, 当之无__, 羞__, 不__
芦	葫__, __苇, __花, 冰糖葫__
砭	针__, 针__时弊
累	积__, __计, 劳__, __加
爱	__情, 恋__, __社, 喜__
现	__在, 出__, 发__, 实__
圳	深__, 深__市, 深__河大桥
傲	骄__, __慢, __气, __然
吵	争__, __架, __闹, 大__大闹
丹	__田, __麦, 志__, 牡__
妞	小__
耽	__搁, __误
政	__治, __府, __策, 行__
锡	无__, __庆, __良, 莱比__
居	__民, __然, __室, __士
钠	海藻酸__
衍	繁__, 敷__, 罗摩__那, __生物
槌	一__定音
赏	欣__, 观__, 赞__, __识
从	__而, __事, __来, __此
扑	__朔迷离, __打, __克, 猛__
提	__高, __出, __供, 前__
套	配__, 一整__, 客__, 外__
嫖	老__, 吃喝__赌, __客
哝	咕__, ____呀呀, 唧__, 嘟__
忘	__记, 难__, 遗__, __不了
釜	__底抽薪
回	__答, __来, __到, __家
橡	__皮, __皮艇, __皮圈, __皮筋
诠	__注
佣	__人, 女__, __金, 墨__
裢	褡__
跤	摔__
慧	智__, __明, 聪__, __芳
苦	痛__, __根, 艰__, 艰__奋斗
姬	妖__状, 美__
绮	__瑞娜, __年
台	__湾, 柜__, 舞__, __阶
靳	小__
呵	__欠, 乐____, 傻____, __护
间	时__, 之__, 房__, 空__
楷	书__, __模, 正__, 蝇头小__
俸	__禄
荻	芦__, __安娜, __港
链	项__, 铁__, 手__, 拉__
恽	__代英, __希中
臼	窠__, 脱__
曾	__经, 不__, 未__, 中__根
境	环__, __界, 困__, __内
异	差__, __常, __性, 诧__
宅	住__, __院, 住__区, __基地
娄	__际成
皇	__帝, __甫, __冠, __室
唆	教__
醉	麻__, 沉__, __心, 陶__
圭	乌拉__
乖	__巧, __戾
侍	__者, __候, __奉, 服__
踌	__躇, __躇满志
椎	脊__, 颈__
斑	__驳, 垢__, __白, 花__
搐	抽__
蜒	蜿__, 蜿蜿____
店	商__, 饭__, 书__, 酒__
存	__在, 生__, 库__, 保__
香	__港, __烟, 全__, __味
涅	奥多__斯, __盘, 埃__阿斯
咛	叮__
拗	执__
阜	__新, 曲__, __亭, __宁
功	__能, 成__, 气__, __夫
涡	__流, 漩__, 笑__, __阳
伢	__狗娃
讥	__讽, __笑, 反唇相__
暧	__昧
憩	小__
怨	抱__, 埋__, __言, 宿__
鲫	__鱼
挪	腾__, __用, __动
央	中__, 党中__, 团中__, 中共中__
炳	__云, __根, __南, __文
露	__出, 透__, 流__, 暴__
贶	礼__
核	__心, 考__, __算, 审__
欺	__侮, __负, __骗, __压
昼	__夜, 白__
脾	__气, 发__气, 沁人心__, 牛__气
局	__面, __长, 当__, __势
寅	__虎, 子丑__卯, __生
雇	__用, __工, 解__, __佣
商	__品, __品经济, __店, __业
釉	牙__质, __质
半	一__, __天, __点, __数
乌	__拉特, __龟, __黑, __鲁木齐
扔	__掉, __下
邸	官__
塘	钱__江, __格木, 池__, 钱__
垠	土__, 无__
鼎	__盛, 人声__沸, 承__, 大名____
缠	纠__, __绵, __绕, __住
募	__捐, __集, __化, 筹__
煞	神__, __费苦心, 神__岛, 抹__
淡	冲__, 冷__, ____的, __漠
池	铁__, __水, __塘, 鱼__
棣	__棠
潢	装__
该	应__, __厂, __党, __县
敦	伦__, 弥__道, __促, 大__穴
恨	__水, 仇__, 怨__, __不得
侄	__子, __儿, __女, __汤宝福
憎	__恶
皓	小__, 明眸__齿
端	终__, 末__, 极__, __正
饮	__食, __料, __用, __水
瑰	玫__, 玫__色, __丽, 玫__花
僳	__族, ____族
籁	万__俱寂, 万__俱静, 天__
鉴	借__, __定, __于, __别
价	__值, __格, 评__, 物__
赶	__到, __紧, __快, __来
禾	柴__, __乃, __本科, __苗
拿	__出, __到, 加__大, 巴__马
腾	图__, 折__, 沸__, 翻__
恪	__守
骄	__傲, __横, 不__不躁, __兵必败
疆	新__, 边__, 阿塞拜__, __域
焉	心不在__, 语__不详
谋	阴__, 参__长, 艺__, 参__
伍	队__, 退__, 为__, 入__
二	第__, __十, 十__, 十__生肖
唐	老__, __代, __朝, __古拉山
徙	迁__
忸	__怩
茕	____孑立
澜	波__, 力挽狂__, 安__, __沧
题	问__, 主__, 课__, 难__
君	__甫, __武, __子, __子兰
定	一__, 决__, 规__, 稳__
障	保__, __碍, 屏__, 故__
痪	瘫__
贡	__献, __品, __嘎宁博, __赋
盱	__眙
瘟	__疫, __神
昧	暧__, 愚__, 蒙__, 拾金不__
您	__老, __好
熬	煎__, 苦__, __煎
措	__施, 不知所__, 筹__, 手足无__
缭	眼花__乱, __绕
纬	北__, 图__
妮	__儿, 珍__, 燕__
由	__于, 自__, 理__, __此
祉	福__
论	理__, 讨__, 舆__, 无__
朽	腐__
房	__间, 住__, __子, 厨__
憾	遗__, 缺__, __事
审	__计, __查, __美, __批
硃	__砂
诊	__断, 急__室, 急__, 门__
魅	__力, 鬼__
跷	蹊__
陇	云__, 关__, __海
稠	__密, __乎乎, __油
光	阳__, 目__, 灯__, __南
烈	强__, 激__, 热__, 剧__
及	以__, __其, __时, 涉__
位	单__, 地__, __置, 那__
雌	__雄, 信口__黄, 决一__雄, __激素
救	抢__, __助, 急__, 挽__
捕	追__, 逮__, __捉, 被__
拔	选__, __地而起, __牙, 挺__
飘	__伶, __然, __扬, __浮
瑛	明__
燎	烟熏火__, 心急火__, __原
坝	__上, 筑__, __址, 堤__
漠	沙__, 淡__, 冷__, __然
牟	释迦__尼, 中__秀子, __取暴利, __利
谤	诽__, 毁__
赡	__养, __养费
衣	__服, 羽__, 白__, 上__
迢	千里____
步	进一__, 逐__, 进__, 初__
旦	一__, 约__, 复__, 元__
惨	悲__, __不忍睹, __叫, __案
咧	大大____
驯	__服
卵	产__, __石, __巢, 排__
楹	__联
裸	赤____, __露, __体, 赤__
戍	卫__, __卒, __边
诺	斯__, 许__, 凯__, 承__
曼	老__场, __德拉, __贞, 万__
承	__认, __担, __包, 伯__
臾	须__
鲁	__迅, __艺, 乌__木齐, 布__塞尔
妃	贵__, 淑__
市	__场, 城__, __委, __民
笄	及__
理	管__, __论, 处__, __解
炉	锅__, 司__, __子, 火__
趋	__势, 日__, __于, __向
刊	报__, __物, __登, 期__
鬃	__毛
撑	支__, 俯卧__, __住, 支__力
投	__资, __入, __资者, __机
得	__到, 觉__, 取__, 获__
尖	__锐, 脚__, __叫, 双__牙
墙	__上, __壁, 城__, __角
稚	幼__, 幼__园, __气, __嫩
霜	严__, 冰__, 砒__, 饱经风__
原	__则, __因, __来, __始
妄	__图, 虚__, __言, 胆大__为
没	__有, __什么, 淹__, __法
丢	__失, __掉, __开, __丑
萦	__绕, __回, 魂牵梦__
肩	__上, __膀, __头, __负
航	__空, __运, 民__, __天
庭	家__, 军事法__, 王__, 法__
荩	__卿
钱	有__, 花__, 价__, 金__
田	油__, 保__, 丹__, __园
决	解__, __定, __策, 坚__
防	__止, 预__, 国__, __治
祥	造__, 吉__, __云, 慈__
吴	东__, __中, __儿堡, __堡
秃	__头, 光____, __子
鹂	听__馆
髅	骷__
魄	惊心动__, 气__, 体__, __力
呆	__子, __板, 发__, __滞
先	__生, 首__, __进, __后
淋	冰淇__, 血____, 大汗__漓, __巴细胞
削	__减, __弱, 剥__, 切__
仍	__然, __旧, 频__
每	__个, __天, __次, __年
桎	__梏
晒	__太阳, 暴__, 曝__, 日__
苕	__货
荔	__枝
志	同__, 标__, 意__, 杂__
丸	睾__, 药__, 定心__
飙	狂__
奘	玄__
痛	__苦, __快, 疼__, 头__
婚	结__, __姻, 离__, 再__
尿	__布, __酸, 撒__, __素
泡	浸__, 灯__, __沫, __桐
赠	__送, 捐__, 馈__, __予
解	__决, 理__, 了__, __释
矶	洛杉__
此	因__, 如__, __时, __外
掉	去__, 丢__, __头, 扔__
惩	__罚, __治, 严__, 奖__
慨	感__, 慷__, 愤__, __叹
巫	__术, __师, 小__见大__, __婆
续	继__, 持__, 连__, 手__
彬	钟__, 淑__, ____有礼, 文__
确	正__, 明__, __定, __实
镰	__刀, 开__
凳	__子, 板__, 方__, 长__
陲	边__
却	冷__, __说, 忘__, 失__
迷	__信, 封建__信, __人, 歌__
汶	__河
裹	包__, __挟, __足不前, 银装素__
耕	__地, __种, __作, 机__
藻	__类, 海__, __类植物, 海__酸钠
霾	阴__
封	__建, __建迷信, __闭, 信__
毁	__灭, 摧__, 击__, 撕__
纂	编__
震	地__, __动, __惊, __撼
咆	__哮
选	__择, __用, __题, __举
冈	井__山, 蒲__道, 井__, __林信康
洋	海__, __货, 太平__, 大__
庖	越俎代__
不	__能, __同, __会, __要
斐	__兹杰惹, __然, 哈乃__派, 如__兹杰惹
脓	__肿, __血
戕	__害
扯	拉__, 拉拉____, __谎, 牵__
弗	__雷泽, 内__图内, __洛伊德
岖	崎__
媚	明__, 妩__, 春光明__, 娇__
溢	__出, 充__, 才华横__, 洋__
认	__为, __识, __真, 承__
怩	忸__
膨	通货__胀, __胀, 通货__胀率, __松
紫	__烟, __色, __山大街, __阳
捆	__绑, __扎
席	主__, 出__, __位, 缺__
痨	__病
薜	马__里吉思
吱	__声, __呀, __嘎, 咯__咯__
爵	__位, 伯__, 官__, 封__
根	__据, __本, 苦__, __据地
筵	__席, 酒__
攻	进__, __击, __势, __读
髋	__骨
肾	__上腺, __上腺素, __脏, __病
屁	__股, 放__, 狗__, 拍马__
悖	相__, 有__, 有__于
寄	__托, __生, __主, __予
均	平__, 人__, __匀, 年__
摘	文__, __要, __自, __掉
赋	__予, 天__, __闲, 贡__
乍	初来__到
桌	__上, __子, __球, 餐__
鹿	__野苑, 麋__, 午__, 巨__
罗	__马, __马尼亚, __布泊, 张__
糖	乳__, 白__, 血__, __类
秘	__密, 神__, __书, __书长
矜	__持
污	__染, 油__, 贪__, __垢
珑	玲__, 八面玲__, 小巧玲__
楣	门__, 倒__
豹	__子
擦	__拭, 摩__, __洗, 磨__
恩	__来, 科__, __格斯, __赐
鹭	苍__, __鸶, 白__
壮	__大, 理直气__, __士, __观
关	__系, 有__, __于, 机__
盲	__目, __目性, 文__, __区
牵	__制, __动, __引, __头
穿	__过, 身__, __着, 贯__
虽	__然, __说, __则
伫	__立
征	特__, 象__, __用, __收
窃	__贼, 盗__, __取, 行__
禅	__宗, __师, __房, 口头__
隅	一__, 向__
圆	__形, __满, 方__, __脸
玉	__珍, __刚, __德, __泽
事	__业, __实, __情, 军__
焊	__接
谌	__容
梏	桎__
抓	__住, __好, __紧, 狠__
攒	人头__动, 积__
怔	__住, __忡
岗	__位, 皇__, __台, 上__
编	__辑, __制, __码, __者
宙	宇__, 宇__空间, 宇__飞船
娘	姑__, 大__, 四__, __子
多	许__, __少, 很__, __年
喝	__酒, __茶, 吆__, __道
苛	__刻, __求
澡	洗__, __堂, 冲__, 搓__
渠	__道, 多__道, 主__道, 伯__
财	__政, __务, __产, __富
朦	__胧, 迷__, __胧诗
掩	__护, __饰, __盖, __埋
纫	缝__, 缝__机
尬	尴__
劳	__动, __动者, 按__分配, __动生产率
甲	指__, __鱼, __子, __木森桑布
况	情__, 状__, 何__, __且
伶	飘__, 瘦____, __俐, __牙俐齿
讹	以__传__, __传, __诈
坞	船__, 李家__
施	措__, 实__, 设__, __工
萼	小__
肿	臃__, 红__, 水__, 浮__
翁	主人__, 老__, 富__, 皮格马利__
篡	__改, __党
哇	乌里__啦
叉	交__, __烧, 分__, __烧肉
版	出__, __权, 出__社, 出__署
介	__绍, __石, 媒__, 中__
纶	晴__, 满腹经__, 锦__
豌	__豆
柑	__桔, __橘, 蜜__
虐	__待, 暴__, 肆__, 狂__
拓	开__, __宽, 开__进取, __展
联	__系, 苏__, __合, 青__
嵘	峥__
四	第__, __周, __十, __川
奚	__如
嗝	酒__
瑜	美__, 国__, __伽
烟	香__, 吸__, 抽__, __青虫
信	__息, 相__, __仰, __心
习	学__, __惯, 实__, 练__
赢	__得, __利, 输__, __家
胧	朦__, 朦__诗
菩	__萨, __提, __提树, __萨心肠
绫	__绸
筮	卜__, __辞
韩	__国, __国语, __村
陨	__石, __石雨, __星
惰	懒__, __性元素
饨	馄__
娃	夏__, __儿, 伢狗__, 萨斯加__
啪	__楞, 劈劈____, 噼里__啦
预	__算, __防, __测, __期
劈	__头, __柴, ____啪啪, __叉
下	一__, __来, __去, __午
熊	兆__, 黑__, 狗__, 文__
貌	面__, 外__, 容__, 相__
栏	__目, 铁栅__, 栅__, __杆
邙	__山
犬	__子, 猎__, 鸡__不宁, 声色__马
愕	惊__, __然, 错__
悔	后__, __过, 反__, 后__药
窘	__迫, __境, __况, __困
嘛	喇__, 喇__教, 达赖喇__
潮	浪__, __流, 高__, 思__
璜	装__
速	__度, 迅__, 高__公路, 车__
嫡	__系
阱	陷__
褥	被__, 棉被__, 皮__子, __子
萧	__条, 祸起__墙, __山, __索
扰	干__, 困__, __乱, 侵__
抨	__击
盆	__栽, 花__, __花, __景
崭	__新, __露头角
蛳	螺__
疲	__劳, __软, __倦, __惫
谷	__寿夫, 低__, 峡__, 文__
锰	高__酸钾
蔽	隐__, 屏__, 遮__, 隐__所
撼	震__, __动, __人心魄, 震__力
耿	忠心____, __直, ____于怀
卉	花__
狈	狼__
之	__间, __后, __中, __一
释	解__, __迦牟尼, __放, 稀__
泌	分__, 内分__, 钟__
淌	流__
村	农__, __里, __民, 新__
打	__开, __击, __破, __算
慕	羡__, __容, 倾__, 爱__
忖	思__, __思
孙	小__, __子, 儿__, 子__
高	提__, __兴, 最__, __度
姚	余__
铜	__陵, __钱, __城, 古__色
珞	__巴
锥	__形, 冰__, 圆__, __子
裤	__子, 牛仔__, 长__, 棉__
摧	__毁, __残
倚	不偏不__, __老卖老, __靠, __重
拨	__款, 划__, __动, __开
鹫	灵__山
自	__己, __然, __由, __身
篮	花__, 菜__子, 摇__, __球场
困	__难, 贫__, __境, __惑
闲	__聊, 悠__, 空__, __话
兵	官__, __站, __器, __法
郴	__州
歹	__徒, 好__, 为非作__, 好说__说
恿	怂__
开	__始, __放, __发, __展
它	__们, 其__
酪	干__素, 奶__, 干__
墅	别__
处	__理, __于, 到__, 深__
喇	__嘛, __叭, __嘛教, __叭口
阆	__中
匈	__牙利
例	__如, 比__, 条__, __子
逊	汉__, 普__, __色, 谦__
暑	__假, 寒__假, 寒__, 避__
帖	妥__
骗	欺__, __人, 受__, __局
垛	城__
砚	玉__, __秋, 端__
钝	迟__, 愚__
甜	__蜜, __食, __美, __头
熟	成__, __悉, __人, __练
亡	死__, 伤__, 身__, 流__
传	__统, 宣__, __播, __来
讣	__告
谢	感__, 代__, 新陈代__, 多__
魔	妖__, 恶__, __术, 病__
挨	__打, __饿, __着, __家__户
怪	奇__, 难__, __不得, 古__
岭	长__, 山__, __湾, 铁__
妯	__娌
皱	__纹, __褶, __眉, __眉头
地	__方, __区, 土__, __位
渲	__染
蔼	和__, 和__可亲
戾	暴__, 乖__
层	__次, 基__, 煤__, 深__
磅	气势__礴
症	__状, 癌__, __结, 肥胖__
陆	大__, __续, __军, __地
勉	__强, __励, 互__, 共__
午	下__, 上__, 中__, __夜
赌	__博, 打__, 聚__, __徒
碌	忙__, 一骨__, 庸__, 忙忙____
材	__料, 身__, 原__料, 题__
摒	__弃, __除
惕	警__, 恒__, 警__性
腔	口__, 满__, __调, 腹__
站	火车__, 水电__, 车__, 兵__
补	__充, 弥__, __偿, __偿费
矛	__盾, 长__, __头, 主要__盾
辎	__兵, __重
铝	__锅, __制品
镜	眼__, __头, __子, 滤色__
满	__足, 充__, __意, 不__
你	__们, __好, __家, __一言我一语
诣	造__
豢	__养
旧	依__, 照__, 仍__, 陈__
晦	__气, 阴__, 隐__
择	选__, __业, 抉__, __优
溽	__暑
快	很__, 加__, 愉__, 尽__
聪	__明, __慧, __明才智, __敏
峭	陡__, __壁, 峻__, 悬崖__壁
积	__极, 面__, __极性, __累
驮	__子
囱	烟__
物	事__, 人__, __质, 动__
右	左__, __手, __派, __边
冒	__险, 感__, __犯, __充
僵	__局, __化, __硬, __持
兴	高__, __趣, __奋, 振__
混	__乱, __凝土, __合, __淆
蹶	一__不振
艾	小__, 方兴未__, __略特, 凄凄____
币	货__, 人民__, 硬__, 纸__
往	交__, 以__, 前__, __来
笃	__信, 沙厘__, 深__, 甚__
岂	__能, __止, __有此理, __敢
禄	裕__, 俸__, 尼__, 利__
唇	嘴__, 口__, __膏, 反__相讥
隆	道__, __重, 山口__一, 乾__
炊	__具, __事员, __烟, __事班
谍	间__
涌	汹__, __出, __起, __现
蘑	__菇
析	分__, 剖__, 分__家, 分崩离__
撒	__娇, __手, 弥__, __切尔
怕	恐__, 不__, 害__, 可__
憔	__悴
璀	__璨
溘	__然
官	军__, __兵, __员, 感__
颚	下__
吝	__啬, __啬鬼
喜	__欢, __爱, __悦, __鹊
办	__法, __公室, __理, 举__
渡	过__, __过, 轮__, 引__
侠	大__, 云__, 少__, 武__小说
欣	__赏, __慰, __喜, __然
推	__动, __广, __荐, __进
Ｋ	三__党, 卡拉Ｏ__机, __氏
肪	脂__, 脂__酸, 脂__酶
夯	__实
嘱	叮__, __咐, __托, 遗__
瞰	俯__
铲	__除, 锅__
醴	__陵
贷	__款, 信__, 信__资金, 严惩不__
溶	__液, __解, __化, __剂
许	__多, 也__, 允__, 或__
蜻	__蜓点水
落	__实, __后, 角__, 涨__
愿	__意, __望, 自__, 情__
芾	米__
繁	频__, __荣, __华, __忙
硅	__酸盐, 可控__, __山, __酸
海	上__, __部, __湾, __迪
镇	小__, 城__, 乡__企业, 乡__
集	__中, __团, __体, __邮
又	__惊__喜, __红__专, 欲言__止
郊	__区, 西__, __外, __游
跌	下__, 暴__, __落, ____撞撞
虑	考__, 焦__, 忧__, 疑__
某	__些, __种, __个, __人
爹	__娘, __地, __妈, 老__
恕	宽__, 饶__, 仁__
菏	__泽
津	天__, 天__市, 普利高__, __浦
睛	眼__, 定__, 目不转__
嗜	__好
秆	麦__, 麻__
狞	狰__
乡	家__, 城__, 故__, __村
濠	宸__
正	__在, __是, __确, 真__
波	风__, 奔__, 雪__, __兰
桥	大__, __牌, __梁, __墩
扩	__大, __展, __充, __散
饯	__行
眩	晕__, 目__, 头晕目__, __目
即	立__, __使, __可, __将
哲	__学, __夫, 以__, __学家
灵	__魂, 心__, __活, __敏
酿	酝__, __成, __造
起	__来, 一__, 引__, 想__
件	条__, 软__, 文__, 事__
詹	兰__
诸	__如, __多, __位, __如此类
棺	__材, __木
腿	大__, 火__, 小__, 盘__
