original_word	pinyin	english	freq_per_mil	count_in_corpus
令	Líng; líng; lǐng; lìng	see 令狐[Ling2 hu2], old place name (in modern Linyi county 臨猗縣|临猗县, Shanxi)/two-character surname Linghu; see 脊令[ji2 ling2], variant of 鶺鴒|鹡鸰[ji2 ling2], wagtail/see 令狐[Ling2 hu2], old place name (in modern Linyi county 臨猗縣|临猗县, Shanxi)/two-character surname Linghu; classifier for a ream of paper; to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)	249.0	3
特	tè	special/unique/distinguished/especially/unusual/very	237.0	3
信	xìn	letter/mail/CL:封[feng1]/to trust/to believe/to profess faith in/truthful/confidence/trust/at will/at random	236.0	3
边	biān; bian	side/edge/margin/border/boundary/CL:個|个[ge4]/simultaneously; suffix of a noun of locality	235.0	3
关于	guān yú	pertaining to/concerning/with regard to/about/a matter of/also written 關於|关于; pertaining to/concerning/with regard to/about/a matter of	225.0	3
不好	bù hǎo	no good	224.0	3
似乎	sì hū	apparently/to seem/to appear/as if/seemingly	222.0	3
未	wèi	not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep	217.0	3
原因	yuán yīn	cause/origin/root cause/reason/CL:個|个[ge4]	215.0	3
指	zhǐ	finger/to point at or to/to indicate or refer to/to depend on/to count on/(of hair) to stand on end	212.0	3
穿	chuān	to bore through/to pierce/to perforate/to penetrate/to pass through/to dress/to wear/to put on/to thread	202.0	3
约	yāo; yuē	to weigh in a balance or on a scale; to make an appointment/to invite/approximately/pact/treaty/to economize/to restrict/to reduce (a fraction)/concise	188.0	3
远	yuǎn; yuàn	far/distant/remote; to distance oneself from (classical)	187.0	3
各种	gè zhǒng	every kind of/all kinds of/various kinds	185.0	3
根据	gēn jù	according to/based on/basis/foundation/CL:個|个[ge4]	180.0	3
面	miàn	face/side/surface/aspect/top/classifier for flat surfaces such as drums, mirrors, flags etc; flour/noodles	179.0	3
简单	jiǎn dān	simple/not complicated	176.0	3
想到	xiǎng dào	to think of/to call to mind/to anticipate	167.0	3
留	liú	to leave (a message etc)/to retain/to stay/to remain/to keep/to preserve	166.0	3
规定	guī dìng	provision/to fix/to set/to formulate/to stipulate/to provide/regulation/rule/CL:個|个[ge4]	166.0	3
最近	zuì jìn	recent/recently/these days/latest/soon/nearest (of locations)/shortest (of routes)	144.0	3
大概	dà gài	roughly/probably/rough/approximate/about/general idea	141.0	3
调查	diào chá	investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]	139.0	3
解释	jiě shì	explanation/to explain/to interpret/to resolve/CL:個|个[ge4]	134.0	3
专家	zhuān jiā	expert/specialist/CL:個|个[ge4]	134.0	3
方	Fāng; fāng	surname Fang; square/power or involution (mathematics)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter	134.0	3
不仅	bù jǐn	not only (this one)/not just (...) but also	132.0	3
考虑	kǎo lu:4	to think over/to consider/consideration	129.0	3
属于	shǔ yú	to be classified as/to belong to/to be part of	126.0	3
乱	luàn	in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary	124.0	3
群	qún	group/crowd/flock, herd, pack etc	121.0	3
度	dù; duó	to pass/to spend (time)/measure/limit/extent/degree of intensity/degree (angles, temperature etc)/kilowatt-hour/classifier for events and occurrences; to estimate	121.0	3
至少	zhì shǎo	at least/(to say the) least	120.0	3
留下	liú xià	to leave behind/to stay behind/to remain/to keep/not to let (sb) go	119.0	3
占	zhān; zhàn	to observe/to divine; to take possession of/to occupy/to take up	117.0	3
具体	jù tǐ	concrete/definite/specific	115.0	3
超过	chāo guò	to surpass/to exceed/to outstrip	110.0	3
制度	zhì dù	system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]	110.0	3
化	huā; huà	variant of 花; to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學|化学[hua4 xue2], chemistry/chemical	109.0	3
早上	zǎo shang	early morning/CL:個|个[ge4]	109.0	3
证明	zhèng míng	proof/certificate/identification/testimonial/CL:個|个[ge4]/to prove/to testify/to confirm the truth of	109.0	3
科技	kē jì	science and technology	109.0	3
何	Hé; hé	surname He; what/how/why/which/carry	108.0	3
